date,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,Ignore,tweet_count,daily_sent,cz_binance,binance,charliebilello,el33th4xor,allyatl,bithumbofficial,fabrilemus7,zakawaqar,erikvoorhees,binanceresearch,Binance Coin_pytrend_unscaled,Binance Coin_pytrend_monthly,MA_10,ADX_2_7,RSI_10,MACD_5_10,MACDsign_5_10,MACDdiff_5_10,Mass Index,vix,gvz
2020-03-23,343.18,388.28,336.21,379.16,5336916.0722,1622073599999,1962829110.773636,2082589,2673811.3373,983655102.2938088,0,2.0,0.5106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,370.039,0.7683926313959913,0.3320981489369135,-25.592882623877017,-42.75693157228802,17.164048948411,0.0,61.59000015258789,41.15999984741211
2020-03-24,379.16,387.56,340.0,369.67,4275801.5014,1622159999999,1564221587.83169,1704366,2140808.4699,783530313.8460209,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,13.0,355.799,0.7835953914864926,0.3320981489369135,-18.31715646092113,-37.28100322034364,18.96384675942251,0.0,61.66999816894531,40.40999984741211
2020-03-25,369.83,373.68,312.3,328.82,5253443.3619,1622246399999,1767981944.157346,1933829,2598883.1262,874537314.700747,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,337.89300000000003,0.8218489022750821,0.2681603544567145,-19.29632127188586,-33.34605757334406,14.049736301458204,0.0,63.95000076293945,40.560001373291016
2020-03-26,328.86,347.0,295.22,305.04,3764083.2923,1622332799999,1207409894.689486,1390377,1872279.1805,601649385.744475,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,334.91700000000003,0.8555075439057968,0.234181956437156,-22.199916696012394,-30.95233396399248,8.752417267980082,0.0,61.0,37.47999954223633
2020-03-27,305.18,338.32,291.06,325.57,3739673.1138,1622419199999,1204069134.173924,1408477,1911886.8185,615710137.730793,0,4.0,0.4183,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,328.357,0.793695824566362,0.2256698412541892,-19.371571587240624,-28.501442294172804,9.12987070693218,0.0,65.54000091552734,34.88999938964844
2020-03-30,325.55,356.0,307.55,353.33,4110136.8744,1622505599999,1377416607.541584,1491701,2073385.13,695174322.053172,0,6.0,0.2610666666666666,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,331.08900000000006,0.799593876618629,0.3486506040078868,-12.498272460993462,-25.15356722485467,12.655294763861209,0.0,57.08000183105469,30.420000076293945
2020-03-31,353.37,364.4,339.48,362.39,3652280.6916,1622591999999,1284873991.761273,1433677,1822516.9792,641389445.046448,0,2.0,0.6597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,337.352,0.8457742361813653,0.4036501753552566,-6.632517722355715,-21.314274210375387,14.681756488019673,0.0,53.540000915527344,29.190000534057617
2020-04-01,362.36,419.43,350.43,401.54,4377024.6685,1622678399999,1713451718.593527,2005038,2216693.626,867266719.4426941,0,2.0,0.6597,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.0,351.434,0.881989539963722,0.6442054829458431,2.853626040387496,-16.340700505960932,19.194326546348428,0.0,57.060001373291016,30.260000228881836
2020-04-02,401.52,433.0,391.32,428.48,4214469.415,1622764799999,1752346450.735721,2025392,2186064.7368,909442960.293411,0,2.0,0.5707,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,10.0,359.718,0.7626563720171161,0.6827724316713933,11.909968291082636,-10.56040608760932,22.470374378691957,0.0,50.90999984741211,31.90999984741211
2020-04-03,428.46,429.5,365.0,390.7,4926793.4499,1622851199999,1916201817.164444,2012318,2419380.41,941090245.734026,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.47,0.6731958072299462,0.543191726320691,10.433821027353872,-6.284533389863678,16.71835441721755,0.0,46.79999923706055,31.850000381469727
2020-04-06,390.68,426.0,384.01,387.8,3427891.4557,1622937599999,1384847602.845933,1524808,1733628.8616,701010673.354226,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.334,0.6731958072299462,0.543191726320691,8.55878124216406,-3.272461939095595,11.831243181259657,0.0,45.2400016784668,35.7599983215332
