date,tweet_count,daily_sent,cz_binance,binance,charliebilello,el33th4xor,allyatl,bithumbofficial,fabrilemus7,zakawaqar,erikvoorhees,binanceresearch
2021-06-04,2,0.0,0,2,0,0,0,0,0,0,0,0
2021-06-03,2,0.5707,0,2,0,0,0,0,0,0,0,0
2021-06-02,2,0.6597,0,2,0,0,0,0,0,0,0,0
2021-06-01,2,0.6597,0,0,0,0,0,0,0,0,0,0
2021-05-31,6,0.2610666666666666,6,6,0,0,0,0,0,0,0,0
2021-05-30,4,0.4183,2,2,0,0,0,0,0,0,0,0
2021-05-27,2,0.0,0,0,0,0,0,2,0,0,0,0
2021-05-26,2,0.5106,0,0,0,0,0,0,0,0,0,0
2021-05-23,2,0.0,0,0,2,0,0,0,0,0,0,0
2021-05-21,4,0.0,0,0,4,0,0,0,0,0,0,0
2021-05-18,6,0.003266666666666677,0,4,0,0,2,0,0,0,0,0
2021-05-17,2,0.8832,0,2,0,0,0,0,0,0,0,0
2021-05-16,2,0.0,0,2,0,0,0,0,0,0,0,0
2021-05-15,4,-0.064,2,2,0,0,0,0,0,0,2,0
2021-05-14,2,0.0516,0,0,0,0,0,0,2,0,0,0
2021-05-10,28,0.14684999999999998,6,14,0,2,0,0,0,2,0,2
