date,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,Ignore,tweet_count,daily_sent,btctn,USD Coin_pytrend_unscaled,USD Coin_pytrend_monthly,MA_10,ADX_2_7,RSI_10,MACD_5_10,MACDsign_5_10,MACDdiff_5_10,Mass Index,vix,gvz
2020-03-23,0.9988,0.9993,0.9983,0.9988,155886649.63,1622073599999,155692964.466973,47956,78684369.2,78589731.342129,0,0.0,0.0,0.0,25.0,52.0,0.99885,0.8486127813166152,0.96568439912848,-6.313508211996943e-05,-0.0001061093213963,4.297423927639729e-05,0.0,61.59000015258789,41.15999984741211
2020-03-24,0.9988,0.9993,0.9984,0.9991,108635701.03,1622159999999,108507758.06199,39166,53142507.82,53081036.973656,0,0.0,0.0,0.0,26.0,27.0,0.99876,0.8835438191370247,0.96568439912848,-9.695240862028776e-06,-8.450697052698092e-05,7.481172966495214e-05,0.0,61.66999816894531,40.40999984741211
2020-03-25,0.9991,0.9999,0.9988,0.9995,184524625.11,1622246399999,184388510.868843,63107,94780460.11,94714660.979624,0,0.0,0.0,0.0,27.0,11.0,0.99878,0.9106301670786264,0.9668831100881085,7.933614185584581e-05,-4.8659033726689006e-05,0.0001279951755825,0.0,63.95000076293945,40.560001373291016
2020-03-26,0.9994,1.0,0.9991,0.9995,139086550.13,1622332799999,139031215.421873,57924,70628578.81,70602797.402606,0,0.0,0.0,0.0,29.0,24.0,0.9989,0.8018190843637605,0.967117097202828,0.0001230726796731,-1.177826383837485e-05,0.0001348509435115,0.0,61.0,37.47999954223633
2020-03-27,0.9995,1.0001,0.9988,0.9994,166205361.86,1622419199999,166098680.457218,61732,88461400.63,88406953.590295,0,0.0,0.0,0.0,15.0,12.0,0.99906,0.7203620973048016,0.9426948861827882,0.0001245285648684,1.7068996829689715e-05,0.0001074595680387,0.0,65.54000091552734,34.88999938964844
2020-03-30,0.9994,1.0,0.9989,0.9999,153026557.0,1622505599999,152941356.155776,57990,68059769.81,68023463.352767,0,0.0,0.0,0.0,22.0,12.0,0.9991800000000002,0.7419569517327516,0.9426948861827882,0.0001926367754261,5.3797907105950575e-05,0.0001388388683201,0.0,57.08000183105469,30.420000076293945
2020-03-31,0.9998,1.0003,0.9991,1.0,119284977.98,1622591999999,119273213.131238,41330,59100486.39,59096682.000549,0,0.0,0.0,0.0,53.0,38.0,0.99926,0.803484562706788,0.9447780249686292,0.0002331099827735,9.096813330882728e-05,0.0001421418494647,0.0,53.540000915527344,29.190000534057617
2020-04-01,1.0,1.002,0.9996,1.0,106343653.87,1622678399999,106347726.542506,44259,55413419.52,55416731.641338,0,0.0,0.0,0.0,100.0,42.0,0.99939,0.7790386210404372,0.9558848601725956,0.0002410540924333,0.0001218547048337,0.0001191993875995,0.0,57.060001373291016,30.260000228881836
2020-04-02,1.0,1.0002,0.9995,0.9998,108206243.92,1622764799999,108190834.158998,40727,51657988.7,51652462.379776,0,0.0,0.0,0.0,52.0,21.0,0.99948,0.6468569342533422,0.9422594325573564,0.0002006690031129,0.0001379806893795,6.268831373340038e-05,0.0,50.90999984741211,31.90999984741211
2020-04-03,0.9999,1.0002,0.9992,0.9994,158304520.53,1622851199999,158244924.761954,48679,75415607.53,75390080.786165,0,0.0,0.0,0.0,0.0,0.0,0.99954,0.5477642129423211,0.8954577887916261,0.0001061942105881,0.000131506769855,-2.5312559266958557e-05,0.0,46.79999923706055,31.850000381469727
2020-04-06,0.9994,1.0001,0.9993,0.9998,72803983.36,1622937599999,72778889.398668,39425,37879836.91,37867897.202186,0,1.0,0.0,1.0,0.0,0.0,0.99964,0.5477642129423211,0.8954577887916261,0.0001085702957217,0.0001268523984676,-1.828210274586032e-05,0.0,45.2400016784668,35.7599983215332
