date,Bitcoin_pytrend_unscaled,Bitcoin_pytrend_monthly
2021-05-01,24,25
2021-05-02,24,23
2021-05-03,28,29
2021-05-04,32,31
2021-05-05,31,31
2021-05-06,32,30
2021-05-07,28,27
2021-05-08,31,29
2021-05-09,30,28
2021-05-10,32,31
2021-05-11,29,29
2021-05-12,35,35
2021-05-13,75,72
2021-05-14,41,40
2021-05-15,32,31
2021-05-16,37,36
2021-05-17,55,54
2021-05-18,40,40
2021-05-19,100,100
2021-05-20,71,69
2021-05-21,56,57
2021-05-22,45,44
2021-05-23,56,55
2021-05-24,57,54
2021-05-25,44,43
2021-05-26,39,35
2021-05-27,31,30
2021-05-28,35,35
2021-05-29,31,30
2021-05-30,31,30
2021-05-31,29,27
2021-06-01,100,30
2021-06-02,97,27
2021-06-03,83,25
