Date,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,Ignore
1620518400.0,0.99870000,1.00290000,0.99820000,0.99880000,351483273.34000000,1620604799999,351256687.89773200,77115,176219143.68000000,176119022.87663300,0
1620604800.0,0.99870000,0.99990000,0.99780000,0.99890000,263097717.40000000,1620691199999,262786179.03415400,69700,127967896.38000000,127823048.06443500,0
1620691200.0,0.99890000,0.99990000,0.99820000,0.99880000,176880437.17000000,1620777599999,176693663.08154300,55754,88758746.61000000,88668915.91416200,0
1620777600.0,0.99890000,1.00020000,0.99700000,1.00010000,262103843.19000000,1620863999999,261827925.85422400,80598,131355551.42000000,131225550.90775200,0
1620864000.0,1.00010000,1.00030000,0.99730000,0.99990000,371228166.82000000,1620950399999,370981821.14001400,96425,191673652.74000000,191552610.00025600,0
1620950400.0,1.00000000,1.00100000,0.99800000,0.99900000,257060610.17000000,1621036799999,256787567.46421500,82113,123390618.98000000,123269461.90188000,0
1621036800.0,0.99910000,1.00000000,0.99860000,0.99970000,204568743.10000000,1621123199999,204411553.17553300,76339,108443807.50000000,108363388.60540200,0
1621123200.0,0.99980000,1.00990000,0.99930000,0.99970000,268845092.78000000,1621209599999,268835506.46847200,98100,132410599.00000000,132410723.21205200,0
1621209600.0,0.99970000,1.01000000,0.99800000,1.00000000,346186684.21000000,1621295999999,346052414.01273700,108423,156991448.23000000,156941362.31774800,0
1621296000.0,1.00000000,1.00000000,0.99870000,0.99930000,206678449.61000000,1621382399999,206517440.32556900,59115,99488211.69000000,99413127.50208000,0
1621382400.0,0.99940000,1.03890000,0.99000000,0.99830000,776166386.22000000,1621468799999,775546105.27736800,196022,379864476.66000000,379641130.49797500,0
1621468800.0,0.99830000,1.00010000,0.99750000,0.99780000,414412060.99000000,1621555199999,413751917.18341800,107124,199313716.48000000,199004642.77605800,0
1621555200.0,0.99780000,1.00790000,0.99640000,0.99870000,449099364.49000000,1621641599999,448599395.79876700,123051,222364634.99000000,222122147.69536700,0
1621641600.0,0.99870000,1.03000000,0.99850000,0.99920000,265374874.01000000,1621727999999,265193185.60660800,72121,128836782.21000000,128767482.92445900,0
1621728000.0,0.99920000,1.01980000,0.99750000,0.99870000,421619835.33000000,1621814399999,421401700.69435000,121108,202494558.08000000,202408368.72185500,0
1621814400.0,0.99870000,0.99930000,0.99770000,0.99890000,312955043.07000000,1621900799999,312518295.35380400,80368,155755216.69000000,155542612.74454200,0
1621900800.0,0.99890000,0.99910000,0.99800000,0.99880000,196074187.42000000,1621987199999,195795946.29168100,58255,99672258.26000000,99533103.18893900,0
1621987200.0,0.99880000,0.99930000,0.99830000,0.99880000,155886649.63000000,1622073599999,155692964.46697300,47956,78684369.20000000,78589731.34212900,0
1622073600.0,0.99880000,0.99930000,0.99840000,0.99910000,108635701.03000000,1622159999999,108507758.06199000,39166,53142507.82000000,53081036.97365600,0
1622160000.0,0.99910000,0.99990000,0.99880000,0.99950000,184524625.11000000,1622246399999,184388510.86884300,63107,94780460.11000000,94714660.97962400,0
1622246400.0,0.99940000,1.00000000,0.99910000,0.99950000,139086550.13000000,1622332799999,139031215.42187300,57924,70628578.81000000,70602797.40260600,0
1622332800.0,0.99950000,1.00010000,0.99880000,0.99940000,166205361.86000000,1622419199999,166098680.45721800,61732,88461400.63000000,88406953.59029500,0
1622419200.0,0.99940000,1.00000000,0.99890000,0.99990000,153026557.00000000,1622505599999,152941356.15577600,57990,68059769.81000000,68023463.35276700,0
1622505600.0,0.99980000,1.00030000,0.99910000,1.00000000,119284977.98000000,1622591999999,119273213.13123800,41330,59100486.39000000,59096682.00054900,0
1622592000.0,1.00000000,1.00200000,0.99960000,1.00000000,106343653.87000000,1622678399999,106347726.54250600,44259,55413419.52000000,55416731.64133800,0
1622678400.0,1.00000000,1.00020000,0.99950000,0.99980000,108206243.92000000,1622764799999,108190834.15899800,40727,51657988.70000000,51652462.37977600,0
1622764800.0,0.99990000,1.00020000,0.99920000,0.99940000,158304520.53000000,1622851199999,158244924.76195400,48679,75415607.53000000,75390080.78616500,0
1622851200.0,0.99940000,1.00010000,0.99930000,0.99980000,73460104.38000000,1622937599999,73434877.17740300,39762,38515787.32000000,38503720.42210400,0
